Date,AAPL,MSFT
2023-11-02,0.02069320656997853,0.0065016085297529
2023-11-03,-0.0051811759493085585,0.012861595807821757
2023-11-06,0.014605170766556208,0.01057258812099482
2023-11-07,0.014450743537636423,0.011219253902829296
2023-11-08,0.00588491824035664,0.007405826542289606
2023-11-09,-0.002624414915541995,-0.006910871700376298
2023-11-10,0.023219900953437955,0.02489674256180563
2023-11-13,-0.008583681828418954,-0.008088323140390097
2023-11-14,0.014285756861734722,0.009790540144093862
2023-11-15,0.003040942163984983,0.0004059905572797451
2023-11-16,0.00904219462982181,0.017583326442525138
2023-11-17,-0.00010548240782470852,-0.0168009682907575
2023-11-20,0.009278269364032088,0.02052182612227904
2023-11-21,-0.004230893892105958,-0.011577958366611463
2023-11-22,0.0035145770080777794,0.012812572248260823
2023-11-24,-0.007004456065269227,-0.0011116799840211744
2023-11-27,-0.0009475592858756432,0.0031264581982493045
2023-11-28,0.0032140844482309028,0.010802682868897628
2023-11-29,-0.0054096049816834135,-0.010060002581909422
2023-11-30,0.0030627857753793286,0.00015829983071302678
2023-12-01,0.006791314784688973,-0.011612178944911844
2023-12-04,-0.009464665223167246,-0.014338806523599201
2023-12-05,0.021063299980261352,0.009156387939708077
2023-12-06,-0.005687089381666288,-0.00998596807535701
2023-12-07,0.010139393995801882,0.005829755363715439
2023-12-08,0.0074123710617644,0.008842120421180377
2023-12-11,-0.01292733042508587,-0.007829452314010332
2023-12-12,0.007920101902402,0.008295198118199787
2023-12-13,0.016691455191568894,-2.6752858321987816e-05
2023-12-14,0.0007576844809848993,-0.022544508702111332
2023-12-15,-0.002725722546990661,0.013117312368043477
2023-12-18,-0.008503297717790237,0.005178858321327473
2023-12-19,0.005360149701814754,0.001636952585416962
2023-12-20,-0.010713948346087965,-0.007072787378350265
2023-12-21,-0.0007700139632758063,0.007878690610445993
2023-12-22,-0.005547414119638883,0.002784208164802182
2023-12-26,-0.0028409798081100446,0.00021358151090611344
2023-12-27,0.0005179702224180627,-0.001574786413001461
2023-12-28,0.0022262931502219363,0.003234619997654953
2023-12-29,-0.005424112881485699,0.0020251582223724807
